Unique ID,Skeletal element,Archaeological culture,label,Group Date Range,Group,Date (2-sigma),Min Date,Max Date,Location,Country
I0048,Tooth,LBK_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5211-5009 calBCE (MAMS 21482),7221,7067,Halberstadt-Sonntagsfeld,Germany
I0057,Non-petrous bone,LBK_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5218-5019 calBCE (MAMS 21483),7222,7082,Halberstadt-Sonntagsfeld,Germany
I0659,Tooth,LBK_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5211-4963 calBCE (KIA40350) ,7094,7012,Halberstadt-Sonntagsfeld,Germany
I0821,Tooth,LBK_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5201-4850 calBCE (KIA40348),7049,6957,Halberstadt-Sonntagsfeld,Germany
I1550,Tooth,LBK_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5500-4775 BCE,7515,6790,Halberstadt-Sonntagsfeld,Germany
I0099,Non-petrous bone,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,1193-979 calBCE (MAMS 21484),3128,3036,Halberstadt-Sonntagsfeld,Germany
I0118,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2471-2246 calBCE (MAMS 21492),4474,4360,Alberstedt,Germany
I0550,Tooth,Central_LNBA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2570-2471 calBCE (MAMS 23344),4579,4490,Karsdorf,Germany
I0559,Tooth,Central_MN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,3652-3527 calBCE (MAMS 22818),5660,5552,Quedlinburg IX,Germany
I0560,Tooth,Central_MN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,3640-3376 calBCE (Er7856),5655,5525,Quedlinburg IX,Germany
I0807,Non-petrous bone,Central_MN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,3970-3710 calBCE (Er7784),5902,5812,Esperstedt,Germany
I0172,Tooth,Central_MN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,3360-3086 calBCE (Er8699),5375,5101,Esperstedt,Germany
I0551,Non-petrous bone,Central_MN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,3400-3025 BCE,5415,5040,Salzmuende-Schiebzig,Germany
I1502,Petrous bone,Hungary_BA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,2194-2082 calBCE (OxA-23799),4209,4097,Kompolt-Kigyoser,Hungary
I1508,Petrous bone,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5713-5643 calBCE (OxA-28101),7728,7658,Berettyóújfalu-Morotva-Liget:,Hungary
I0174,Tooth,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5702-5536 calBCE (MAMS 11939 ),7725,7565,Alsonyek-Bataszek Mernoki telep,Hungary
I1497,Petrous bone,Central_MN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,2903-2806 calBCE (MAMS-14825),4918,4821,Apc-Berekalya I,Hungary
I1504,Petrous bone,Hungary_BA,CLB,4.9-4.1 kya,Central European Late Neolithic and Bronze Age,1266-1181 calBCE (OxA-27859),3281,3196,Ludas-Varju-Dulo,Hungary
I1495,Petrous bone,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,4491-4416 calBCE (MAMS-14819),6506,6431,Apc-Berekalya I,Hungary
I1498,Petrous bone,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5291-5144 calBCE (OxA-27858),7306,7159,Debrecen Tocopart Erdoalja,Hungary
I1500,Petrous bone,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5295-5116 calBCE (OxA-23763),7310,7131,Kompolt-Kigyoser,Hungary
I1505,Petrous bone,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5211-5116 calBCE (OxA-28020),7226,7131,Polgar Ferenci hat,Hungary
I1506,Petrous bone,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5306-5229 calBCE (OxA-27861),7321,7244,Polgar Ferenci hat,Hungary
I1499,Petrous bone,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5281-5132 calBCE (OxA-27732),7296,7147,Garadna,Hungary
I0176,Tooth,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5207-4944 calBCE (Beta - 310038),7225,6955,Szemely-Hegyes,Hungary
I1496,Petrous bone,Hungary_EN,CEM,7.7-5.8 kya,Central European Early and Middle Neolithic,5206-5002 calBCE (MAMS-14821),7221,7017,Apc-Berekalya I,Hungary
I0126,Non-petrous bone (Femur),Poltavka,STP,5.4-3.6 kya,Steppe,2867-2484 calBCE (AA53803),4882,4499,Kutuluk III Kutuluk River Samara,Russia
I0371,Non-petrous bone (Tibia),Poltavka,STP,5.4-3.6 kya,Steppe,2875-2580 calBCE (Beta 392488),4890,4595,Grachevka II Sok River Samara,Russia
I0374,Non-petrous bone (Tibia),Poltavka,STP,5.4-3.6 kya,Steppe,2800-2200 BCE,4815,4215,Nikolaevka III Samara River Samara,Russia
I0418,Non-petrous bone (Femur),Potapovka,STP,5.4-3.6 kya,Steppe,2125-2044 calBCE (AA53802),4140,4059,Utyevka IV Samara River Samara,Russia
I0440,Non-petrous bone (Femur),Poltavka,STP,5.4-3.6 kya,Steppe,2885-2665 calBCE (Beta 392492),4900,4680,Lopatino II Sok River Samara,Russia
I0246,Non-petrous bone (Tibia),Potapovka,STP,5.4-3.6 kya,Steppe,2469-1928 calBCE (AA12568),4215,3915,Utyevka VI Samara_River Samara,Russia
I0419,Non-petrous bone (Femur),Potapovka,STP,5.4-3.6 kya,Steppe,2200-1900 BCE,4215,3915,Utyevka VI Samara River Samara,Russia
I0357,Non-petrous bone (Humerus),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,3090-2910 calBCE,5105,4925,Lopatino I Sok River Samara,Russia
I0370,Non-petrous bone (Femur),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,3300-2700 BCE,5315,4715,Ishkinovka I Eastern Orenburg Pre-Ural steppe Samara,Russia
I0429,Non-petrous bone (Femur),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,3339-2917 calBCE (AA47804) ,5354,4932,Lopatino I Sok River Samara,Russia
I0438,Non-petrous bone (Femur),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,3021-2635 calBCE (AA47807),5036,4650,Luzkhi I Samara River Samara,Russia
I0439,Non-petrous bone (Femur),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,3305-2925 calBCE (Beta 392491),5320,4940,Lopatino I Sok River Samara,Russia
I0441,Non-petrous bone (Femur),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,3010-2622 calBCE (AA47805),5025,4637,Kurmanaevka III Buzuluk Samara,Russia
I0443,Non-petrous bone (Tibia),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,3300-2700 BCE,5315,4715,Lopatino II Sok River Samara,Russia
I0444,Non-petrous bone (Femur),Yamnaya_Samara,STP,5.4-3.6 kya,Steppe,3300-2700 BCE,5315,4715,Kutuluk I Kutuluk River Samara,Russia
I0232,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1200 BCE,3865,3215,Novoselki Northern Forest Samara,Russia
I0234,Non-petrous bone (Femur),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1600 BCE,3865,3615,Rozhdestveno I Samara Steppes Samara,Russia
I0235,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1600 BCE,3865,3615,Rozhdestvenno I Samara Steppes Samara,Russia
I0358,Non-petrous bone (Femur),Srubnaya,STP,5.4-3.6 kya,Steppe,1913-1629 calBCE (AA47808),3928,3644,Spiridonovka IV Samara River Samara,Russia
I0359,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1200 BCE,3865,3215,Spiridonovka IV Samara River Samara,Russia
I0361,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1200 BCE,3865,3215,Spiridonovka IV Samara River Samara,Russia
I0422,Non-petrous bone (Tibia),Srubnaya,STP,5.4-3.6 kya,Steppe,1850-1200 BCE,3865,3215,Barinovka I Samara River Samara,Russia
